primary_key,parameter,intercept,mean_umi
\x9ecfeae49de79a8bef54c4bf3be286e1,p1,0.0972483004608275,-1.27227402723669e-06
\x9ecfeae49de79a8bef54c4bf3be286e1,mean1,0.00801479750458262,9.21633901592927e-06
\x9ecfeae49de79a8bef54c4bf3be286e1,mean2,0.0876908602995012,0.000689268980207478
\x9ecfeae49de79a8bef54c4bf3be286e1,sd1,0.0254718535918713,2.07774569341923e-05
\x9ecfeae49de79a8bef54c4bf3be286e1,sd2,0.82290591035504,0.00162513630937738
\x9ecfeae49de79a8bef54c4bf3be286e1,p3,0.0514511365635477,0
\x5bdc7fa50edea7a6843b456c5c8f7606,p1,0.11075631728574,-6.2020993543663e-06
\x5bdc7fa50edea7a6843b456c5c8f7606,mean1,0.00131008100554691,1.68990423868609e-05
\x5bdc7fa50edea7a6843b456c5c8f7606,mean2,-0.00380891654053683,0.000586410767557822
\x5bdc7fa50edea7a6843b456c5c8f7606,sd1,0.0026387146176793,3.77603642387975e-05
\x5bdc7fa50edea7a6843b456c5c8f7606,sd2,0.0373226832593891,0.00179929738632413
\x5bdc7fa50edea7a6843b456c5c8f7606,p3,0.0512600289661203,0
\x726311ab8ceeeeceb6e857e246a34802,p1,0.132102658041258,-8.26838838135519e-06
\x726311ab8ceeeeceb6e857e246a34802,mean1,0.000588183285881734,1.91890079380339e-05
\x726311ab8ceeeeceb6e857e246a34802,mean2,0.0135439269704398,0.000555468843176888
\x726311ab8ceeeeceb6e857e246a34802,sd1,-0.000889716982044597,4.26771151054482e-05
\x726311ab8ceeeeceb6e857e246a34802,sd2,-0.0788060998215112,0.00159104407231667
\x726311ab8ceeeeceb6e857e246a34802,p3,0.0510106925684466,0
\xc66e0c4fc5ecd5e75510abd0491a132b,p1,0.071614538369646,-2.47317521309952e-06
\xc66e0c4fc5ecd5e75510abd0491a132b,mean1,0.0178446845443716,9.93982208339765e-06
\xc66e0c4fc5ecd5e75510abd0491a132b,mean2,0.590144225454943,0.000444806903706478
\xc66e0c4fc5ecd5e75510abd0491a132b,sd1,0.0487027526030341,1.97296441250175e-05
\xc66e0c4fc5ecd5e75510abd0491a132b,sd2,1.39922622466092,0.000852458124028354
\xc66e0c4fc5ecd5e75510abd0491a132b,p3,0.051377931753976,0
\xdb5f74ebc80e57152278ed348ed3eb18,p1,0.0821481977840392,-2.82693861758533e-05
\xdb5f74ebc80e57152278ed348ed3eb18,mean1,0.000418770846442533,1.78349928048861e-05
\xdb5f74ebc80e57152278ed348ed3eb18,mean2,-0.00192417281313195,0.000556852966799635
\xdb5f74ebc80e57152278ed348ed3eb18,sd1,0.000706763359261509,3.69508228958864e-05
\xdb5f74ebc80e57152278ed348ed3eb18,sd2,0.0134455368916195,0.00150700292232536
\xdb5f74ebc80e57152278ed348ed3eb18,p3,0.0515353050295097,0
\xb1b636f37a978283c7345f9c7499d22b,p1,0.0913346281997838,-2.61929804135212e-06
\xb1b636f37a978283c7345f9c7499d22b,mean1,0.00675735472339839,1.64177683366855e-05
\xb1b636f37a978283c7345f9c7499d22b,mean2,0.0086877433775312,0.00055979895450133
\xb1b636f37a978283c7345f9c7499d22b,sd1,0.0165974225049005,3.31032258585262e-05
\xb1b636f37a978283c7345f9c7499d22b,sd2,0.48985162049879,0.0014685306535591
\xb1b636f37a978283c7345f9c7499d22b,p3,0.0513512082025153,0
\xbd9efe217a3c166f5484463ecdf47a0d,p1,0.122013777846729,-2.42927064827515e-05
\xbd9efe217a3c166f5484463ecdf47a0d,mean1,0.00132874871485876,1.75289034894708e-05
\xbd9efe217a3c166f5484463ecdf47a0d,mean2,-0.014080020136715,0.000324724740246171
\xbd9efe217a3c166f5484463ecdf47a0d,sd1,0.00419163191225298,3.91042009714335e-05
\xbd9efe217a3c166f5484463ecdf47a0d,sd2,0.047964455332734,0.000799360320947055
\xbd9efe217a3c166f5484463ecdf47a0d,p3,0.0514824647981285,0
\x49fbb463a3c562c3708cdd8e7cff7dc4,p1,0.0515066630610916,-1.54780559994431e-05
\x49fbb463a3c562c3708cdd8e7cff7dc4,mean1,0.000394009519889002,1.24713341954866e-05
\x49fbb463a3c562c3708cdd8e7cff7dc4,mean2,-0.00191792239602256,0.000380104635331179
